WellRow	WellColumn	Gnumber	Gnumber_2	Concentration	Concentration_2
G	11	vehicle	vehicle	0	0
G	12	vehicle	vehicle	0	0
G	13	vehicle	vehicle	0	0
G	14	vehicle	vehicle	0	0
G	15	vehicle	vehicle	0	0
G	16	vehicle	vehicle	0	0
G	17	vehicle	vehicle	0	0
G	18	vehicle	vehicle	0	0
G	19	vehicle	vehicle	0	0
G	20	vehicle	vehicle	0	0
G	21	vehicle	vehicle	0	0
G	22	vehicle	vehicle	0	0
H	3	vehicle	vehicle	0	0
H	4	vehicle	vehicle	0	0
H	5	vehicle	vehicle	0	0
H	6	vehicle	vehicle	0	0
H	7	vehicle	vehicle	0	0
H	8	vehicle	vehicle	0	0
H	9	vehicle	vehicle	0	0
H	10	vehicle	vehicle	0	0
H	11	vehicle	vehicle	0	0
H	12	vehicle	vehicle	0	0
H	13	vehicle	vehicle	0	0
H	14	vehicle	vehicle	0	0
H	15	vehicle	vehicle	0	0
H	16	vehicle	vehicle	0	0
H	17	vehicle	vehicle	0	0
H	18	vehicle	vehicle	0	0
H	19	vehicle	vehicle	0	0
H	20	vehicle	vehicle	0	0
H	21	vehicle	vehicle	0	0
H	22	vehicle	vehicle	0	0
I	3	vehicle	vehicle	0	0
I	4	vehicle	vehicle	0	0
I	5	vehicle	vehicle	0	0
I	6	vehicle	vehicle	0	0
I	7	vehicle	vehicle	0	0
I	8	vehicle	vehicle	0	0
I	9	vehicle	vehicle	0	0
I	10	vehicle	vehicle	0	0
I	11	vehicle	vehicle	0	0
I	12	vehicle	vehicle	0	0
I	13	vehicle	vehicle	0	0
I	14	vehicle	vehicle	0	0
I	15	vehicle	vehicle	0	0
I	16	vehicle	vehicle	0	0
I	17	vehicle	vehicle	0	0
I	18	vehicle	vehicle	0	0
I	19	vehicle	vehicle	0	0
I	20	vehicle	vehicle	0	0
I	21	vehicle	vehicle	0	0
I	22	vehicle	vehicle	0	0
J	3	vehicle	vehicle	0	0
J	4	vehicle	vehicle	0	0
J	5	vehicle	vehicle	0	0
J	6	vehicle	vehicle	0	0
J	7	vehicle	vehicle	0	0
J	8	vehicle	vehicle	0	0
J	9	vehicle	vehicle	0	0
J	10	vehicle	vehicle	0	0
J	11	vehicle	vehicle	0	0
J	12	vehicle	vehicle	0	0
J	13	vehicle	vehicle	0	0
J	14	vehicle	vehicle	0	0
J	15	vehicle	vehicle	0	0
J	16	vehicle	vehicle	0	0
J	17	vehicle	vehicle	0	0
J	18	vehicle	vehicle	0	0
J	19	vehicle	vehicle	0	0
J	20	vehicle	vehicle	0	0
J	21	vehicle	vehicle	0	0
J	22	vehicle	vehicle	0	0
K	3	vehicle	vehicle	0	0
K	4	vehicle	vehicle	0	0
K	5	vehicle	vehicle	0	0
K	6	vehicle	vehicle	0	0
K	7	vehicle	vehicle	0	0
K	8	vehicle	vehicle	0	0
K	9	vehicle	vehicle	0	0
K	10	vehicle	vehicle	0	0
K	11	vehicle	vehicle	0	0
K	12	vehicle	vehicle	0	0
K	13	vehicle	vehicle	0	0
K	14	vehicle	vehicle	0	0
K	15	vehicle	vehicle	0	0
K	16	vehicle	vehicle	0	0
K	17	vehicle	vehicle	0	0
K	18	vehicle	vehicle	0	0
K	19	vehicle	vehicle	0	0
K	20	vehicle	vehicle	0	0
K	21	vehicle	vehicle	0	0
K	22	vehicle	vehicle	0	0
L	3	vehicle	vehicle	0	0
L	4	vehicle	vehicle	0	0
L	5	vehicle	vehicle	0	0
L	6	vehicle	vehicle	0	0
L	7	vehicle	vehicle	0	0
L	8	vehicle	vehicle	0	0
L	9	vehicle	vehicle	0	0
L	10	vehicle	vehicle	0	0
L	11	vehicle	vehicle	0	0
L	12	vehicle	vehicle	0	0
L	13	vehicle	vehicle	0	0
L	14	vehicle	vehicle	0	0
L	15	vehicle	vehicle	0	0
L	16	vehicle	vehicle	0	0
L	17	vehicle	vehicle	0	0
L	18	vehicle	vehicle	0	0
L	19	vehicle	vehicle	0	0
L	20	vehicle	vehicle	0	0
L	21	vehicle	vehicle	0	0
L	22	vehicle	vehicle	0	0
M	3	vehicle	vehicle	0	0
M	4	vehicle	vehicle	0	0
M	5	vehicle	vehicle	0	0
M	6	vehicle	vehicle	0	0
M	7	vehicle	vehicle	0	0
M	8	vehicle	vehicle	0	0
M	9	vehicle	vehicle	0	0
M	10	vehicle	vehicle	0	0
M	11	vehicle	vehicle	0	0
M	12	vehicle	vehicle	0	0
M	13	vehicle	vehicle	0	0
M	14	vehicle	vehicle	0	0
M	15	vehicle	vehicle	0	0
M	16	vehicle	vehicle	0	0
M	17	vehicle	vehicle	0	0
M	18	vehicle	vehicle	0	0
M	19	vehicle	vehicle	0	0
M	20	vehicle	vehicle	0	0
M	21	vehicle	vehicle	0	0
M	22	vehicle	vehicle	0	0
N	3	vehicle	vehicle	0	0
N	4	vehicle	vehicle	0	0
N	5	vehicle	vehicle	0	0
N	6	vehicle	vehicle	0	0
N	7	vehicle	vehicle	0	0
N	8	vehicle	vehicle	0	0
N	9	vehicle	vehicle	0	0
N	10	vehicle	vehicle	0	0
N	11	vehicle	vehicle	0	0
N	12	vehicle	vehicle	0	0
N	13	vehicle	vehicle	0	0
N	14	vehicle	vehicle	0	0
N	15	vehicle	vehicle	0	0
N	16	vehicle	vehicle	0	0
N	17	vehicle	vehicle	0	0
N	18	vehicle	vehicle	0	0
N	19	vehicle	vehicle	0	0
N	20	vehicle	vehicle	0	0
N	21	vehicle	vehicle	0	0
N	22	vehicle	vehicle	0	0
